GLBALH_BRN_CODE,GLBALH_GLACC_CODE,GLBALH_CURR_CODE,SUM(GLBALH_AC_BAL)
15,3010102145,USD,0
15,3010102146,USD,0
15,3010102165,USD,"38,501.25"
15,3010102166,USD,256
15,3010102167,USD,0
15,3010102193,USD,"71,218.98"
15,3010102198,USD,5
15,3010102199,USD,0
15,3010102201,USD,100.9
15,3010102228,USD,7
15,3010102228,ZIG,7
16,3000201071,ZIG,"332,804.9"
16,3000201087,ZIG,"40,689.13"
16,3000202034,USD,2.45
16,3000202071,USD,"27,796.14"
16,3000202075,USD,258.5
16,3000202087,USD,"7,404.56"
16,3010101003,ZIG,"9,210"
16,3010101164,USD,0
16,3010101164,ZIG,"2,404"
16,3010101165,ZIG,"23,229.68"
16,3010101197,ZIG,"34,073"
16,3010102003,USD,"1,968.44"
16,3010102005,ZIG,74.5
16,3010102007,USD,7
16,3010102007,ZIG,0
16,3010102041,USD,0
16,3010102057,USD,36.25
16,3010102109,USD,60
16,3010102110,USD,"18,384.33"
16,3010102117,USD,540
16,3010102137,USD,5
16,3010102165,USD,"1,937.2"
16,3010102166,USD,585
16,3010102193,USD,"97,159.72"
16,3010102197,USD,0
16,3010102198,USD,101.95
16,3010102201,USD,0
16,3010102228,USD,0
16,3010102228,ZIG,0
16,3010102228,ZWL,0
17,3010102110,USD,207.37
17,3010102117,USD,6
17,3010102137,USD,"1,042"
17,3010102228,ZIG,0
18,3010101003,ZIG,"812,845.22"
18,3010102003,USD,"33,850.18"
18,3010102110,USD,47.3
18,3010102117,USD,3
20,3000201071,ZIG,"18,749.55"
20,3000201087,ZIG,"2,396.8"
20,3010101003,ZIG,"3,528"
20,3010102005,ZIG,12.25
20,3010102041,USD,0
20,3010102056,USD,"258,145.15"
20,3010102109,USD,15
20,3010102110,USD,"6,846.94"
20,3010102116,USD,71.31
20,3010102117,USD,166
20,3010102137,USD,490.25
20,3010102166,USD,0
20,3010102193,USD,"40,668.56"
20,3010102198,USD,15
20,3010102201,USD,0
20,3010102228,USD,0
22,3000201071,ZIG,"1,669,195.3"
22,3000201087,ZIG,"163,400.95"
22,3000202071,USD,"41,332.19"
22,3000202075,USD,77.87
22,3000202087,USD,"10,936.02"
22,3010101003,ZIG,"75,188.43"
22,3010101031,ZIG,60
22,3010101164,ZIG,"1,525"
22,3010101165,ZIG,"86,225.94"
22,3010102003,USD,"8,308.26"
22,3010102005,ZIG,0
22,3010102007,USD,21
22,3010102032,USD,1.09
22,3010102057,USD,0
22,3010102109,USD,21
22,3010102110,USD,"6,916.2"
22,3010102117,USD,144
22,3010102165,USD,"9,964.32"
22,3010102166,USD,40
22,3010102193,USD,"40,256.57"
22,3010102198,USD,50
22,3010102201,USD,0
22,3010102228,USD,56.15
22,3010102228,ZIG,55
